hour,recurrent_complaint_type,count_SR_by_hour,count_SR_by_hour/complaint,percentage_hour
0,HEATING,4535532,887836,0.14532550536744135
12,Derelict Vehicles,2022136,323132,0.06479238513182056
11,Street Light Condition,1896533,171674,0.06076786949602156
10,Street Light Condition,1892084,172372,0.06062531661063132
9,Street Light Condition,1742452,116162,0.05583087441087593
14,Street Condition,1729392,120752,0.05541241168145438
13,Street Condition,1702601,91412,0.05455398633812109
15,Street Condition,1621149,93369,0.05194413746853119
16,Noise - Residential,1485974,82764,0.04761292005279167
8,Illegal Parking,1279304,106613,0.04099089154670041
17,Noise - Residential,1257331,96098,0.04028684242314913
22,Noise - Residential,1243115,321054,0.039831339654278014
18,Noise - Residential,1197350,116593,0.03836495781568863
21,Noise - Residential,1185247,231788,0.037977158855949815
23,Noise - Residential,1139298,351562,0.036504881370942856
19,Noise - Residential,1135445,143628,0.03638142525329652
20,Noise - Residential,1123556,180108,0.03600048318667379
7,Illegal Parking,777515,88217,0.024912790893276946
1,Noise - Residential,623982,220045,0.01999335458115758
6,Illegal Parking,446899,50576,0.014319339610701495
2,Noise - Residential,414182,140980,0.013271036002854262
3,Noise - Residential,280216,92042,0.008978556829065024
5,Noise - Residential,247326,43442,0.007924710031923002
4,Noise - Residential,230314,61690,0.00737961907075
