borough,count_service_requests,percentage
BROOKLYN,9270709,0.29704794730573764
QUEENS,7264167,0.23275521820780679
MANHATTAN,6046702,0.19374574448076176
BRONX,5769470,0.18486279965664268
STATEN ISLAND,1573200,0.05040777687028969
Unspecified,1284685,0.04116330716285794
