agency_name,count_service_requests,percentage
New York City Police Department,8943589,0.2865665133050962
Department of Housing Preservation and Development,7421521,0.23779708530776075
Department of Transportation,3680622,0.11793285819977077
Department of Sanitation,3644155,0.11676439875460878
Department of Environmental Protection,2175650,0.06971121265436421
Department of Buildings,1419574,0.04548536069340492
Department of Parks and Recreation,1320413,0.04230808789767977
Department of Health and Mental Hygiene,766883,0.024572125063322126
Taxi and Limousine Commission,314378,0.010073160486224213
Department of Consumer Affairs,268304,0.0085968778066401
